Country,Year,Month,Region,Fires_Count,Burned_Area_Ha,Cause,Temperature_C,Humidity_Percent,Wind_Speed_kmh
Turkey,1881,August,Mugla,353,76920,Lightning,33,91,25
Turkey,1881,July,Antalya,154,64920,Lightning,38,34,39
Turkey,1881,June,Izmir,196,83204,Unknown,36,93,50
Spain,1881,July,Catalonia,63,84578,Lightning,42,64,16
Spain,1881,October,Andalusia,450,84754,Deforestation,17,55,8
USA,1881,September,California,333,80138,Lightning,18,93,61
USA,1881,October,Texas,246,43101,Human,40,57,3
USA,1881,August,Oregon,96,23583,Unknown,22,51,36
Brazil,1881,October,Amazonas,85,92167,Lightning,18,6,7
Brazil,1881,October,Mato Grosso,110,53095,Climate Change,32,94,45
Greece,1881,June,Athens,206,92193,Unknown,28,52,16
Greece,1881,October,Crete,219,91487,Human,35,84,54
Australia,1881,June,New South Wales,221,86879,Unknown,43,19,46
Australia,1881,May,Victoria,349,40874,Human,38,5,9
Portugal,1881,July,Lisbon,85,33259,Deforestation,49,37,6
Portugal,1881,June,Porto,235,64605,Human,42,11,13
Italy,1881,June,Sicily,37,89235,Climate Change,49,48,36
Italy,1881,May,Sardinia,231,8210,Deforestation,15,9,15
Russia,1881,July,Siberia,397,306,Lightning,27,55,64
Russia,1881,May,Far East,56,54368,Unknown,44,27,16
Canada,1881,July,British Columbia,33,33927,Climate Change,46,75,60
Canada,1881,July,Alberta,90,22399,Lightning,20,32,29
France,1881,August,Corsica,48,26039,Deforestation,42,93,63
France,1881,May,Provence,389,66942,Human,27,7,28
China,1881,May,Yunnan,322,3848,Human,38,83,60
China,1881,October,Sichuan,164,95939,Human,26,43,3
India,1881,July,Madhya Pradesh,117,67272,Human,31,63,3
India,1881,June,Assam,224,954,Climate Change,46,5,20
Turkey,1882,October,Mugla,134,87192,Unknown,40,36,33
Turkey,1882,August,Antalya,443,98606,Deforestation,31,42,25
Turkey,1882,September,Izmir,376,65833,Deforestation,30,77,60
Spain,1882,October,Catalonia,468,15808,Deforestation,34,63,37
Spain,1882,July,Andalusia,350,34854,Deforestation,34,75,53
USA,1882,May,California,421,83979,Lightning,15,15,58
USA,1882,May,Texas,438,47354,Lightning,49,11,17
USA,1882,June,Oregon,116,16471,Unknown,16,5,49
Brazil,1882,October,Amazonas,144,21032,Climate Change,46,13,20
Brazil,1882,July,Mato Grosso,408,6395,Human,38,79,37
Greece,1882,October,Athens,108,61367,Deforestation,39,29,19
Greece,1882,October,Crete,342,77605,Deforestation,30,65,42
Australia,1882,August,New South Wales,165,38567,Human,28,25,49
Australia,1882,August,Victoria,388,46314,Deforestation,31,37,49
Portugal,1882,August,Lisbon,447,40918,Climate Change,22,31,28
Portugal,1882,June,Porto,281,54145,Human,42,68,62
Italy,1882,July,Sicily,8,73844,Unknown,42,34,47
Italy,1882,September,Sardinia,10,47302,Unknown,38,50,54
Russia,1882,July,Siberia,192,54340,Unknown,35,36,34
Russia,1882,July,Far East,132,26741,Human,45,58,59
Canada,1882,July,British Columbia,364,51985,Lightning,46,51,24
Canada,1882,June,Alberta,131,82174,Lightning,16,94,18
France,1882,May,Corsica,397,78169,Climate Change,40,54,26
France,1882,September,Provence,320,87645,Human,34,69,9
China,1882,October,Yunnan,404,76529,Unknown,37,19,67
China,1882,October,Sichuan,55,93948,Lightning,36,62,59
India,1882,October,Madhya Pradesh,309,70413,Deforestation,47,12,54
India,1882,August,Assam,496,48847,Climate Change,18,10,48
Turkey,1883,July,Mugla,315,72715,Unknown,30,17,31
Turkey,1883,July,Antalya,149,73947,Deforestation,42,62,56
Turkey,1883,June,Izmir,233,32317,Climate Change,37,13,13
Spain,1883,September,Catalonia,133,66717,Lightning,15,38,49
Spain,1883,May,Andalusia,492,56656,Climate Change,15,20,62
USA,1883,September,California,282,59738,Deforestation,26,30,17
USA,1883,July,Texas,489,72889,Human,43,82,48
USA,1883,May,Oregon,98,96081,Unknown,19,80,17
Brazil,1883,June,Amazonas,478,35347,Climate Change,47,27,11
Brazil,1883,October,Mato Grosso,329,97479,Lightning,45,14,20
Greece,1883,June,Athens,100,60260,Climate Change,18,20,25
Greece,1883,June,Crete,480,91107,Deforestation,34,28,13
Australia,1883,June,New South Wales,167,35295,Human,47,65,52
Australia,1883,July,Victoria,105,97956,Human,24,47,45
Portugal,1883,September,Lisbon,401,86127,Lightning,49,91,9
Portugal,1883,September,Porto,414,15405,Lightning,48,11,69
Italy,1883,June,Sicily,118,26192,Deforestation,43,40,22
Italy,1883,September,Sardinia,253,44525,Climate Change,23,28,65
Russia,1883,July,Siberia,181,83142,Unknown,32,28,24
Russia,1883,October,Far East,228,61576,Unknown,27,27,31
Canada,1883,May,British Columbia,373,14497,Unknown,39,90,14
Canada,1883,July,Alberta,23,47380,Unknown,26,65,20
France,1883,August,Corsica,269,35370,Unknown,28,56,17
France,1883,September,Provence,73,89212,Unknown,35,57,24
China,1883,May,Yunnan,43,84176,Climate Change,28,9,36
China,1883,September,Sichuan,239,90030,Lightning,26,13,59
India,1883,August,Madhya Pradesh,405,77152,Climate Change,23,54,28
India,1883,June,Assam,198,83560,Climate Change,33,12,66
Turkey,1884,October,Mugla,149,57954,Human,18,40,32
Turkey,1884,July,Antalya,449,26890,Deforestation,24,94,20
Turkey,1884,October,Izmir,455,86288,Climate Change,42,62,21
Spain,1884,August,Catalonia,460,13216,Human,15,7,63
Spain,1884,May,Andalusia,195,99935,Human,39,60,34
USA,1884,October,California,121,67741,Unknown,46,49,62
USA,1884,September,Texas,84,93145,Climate Change,25,40,20
USA,1884,August,Oregon,445,71826,Human,28,19,32
Brazil,1884,May,Amazonas,377,68966,Human,25,16,17
Brazil,1884,October,Mato Grosso,464,24059,Unknown,22,40,9
Greece,1884,June,Athens,320,32021,Unknown,42,45,65
Greece,1884,July,Crete,451,38188,Human,34,81,30
Australia,1884,September,New South Wales,50,45545,Lightning,19,51,26
Australia,1884,June,Victoria,14,84891,Lightning,19,37,66
Portugal,1884,June,Lisbon,228,62392,Lightning,39,90,60
Portugal,1884,July,Porto,181,46640,Human,48,5,22
Italy,1884,October,Sicily,480,18484,Climate Change,45,9,4
Italy,1884,September,Sardinia,27,23624,Climate Change,24,78,18
Russia,1884,September,Siberia,82,38865,Human,27,8,63
Russia,1884,May,Far East,373,45643,Lightning,42,76,40
Canada,1884,June,British Columbia,254,58117,Deforestation,26,69,55
Canada,1884,August,Alberta,393,24385,Deforestation,31,51,24
France,1884,September,Corsica,345,77809,Lightning,25,55,39
France,1884,August,Provence,230,7049,Lightning,48,86,31
China,1884,July,Yunnan,439,61986,Lightning,47,92,31
China,1884,June,Sichuan,55,43188,Climate Change,43,8,11
India,1884,May,Madhya Pradesh,334,20063,Unknown,38,73,35
India,1884,October,Assam,57,5669,Climate Change,25,27,56
Turkey,1885,July,Mugla,378,22515,Unknown,18,60,26
Turkey,1885,July,Antalya,356,33534,Climate Change,46,54,62
Turkey,1885,June,Izmir,55,24054,Climate Change,19,86,43
Spain,1885,September,Catalonia,26,79352,Human,19,16,47
Spain,1885,June,Andalusia,437,91965,Climate Change,41,77,27
USA,1885,May,California,51,5340,Deforestation,31,30,37
USA,1885,May,Texas,12,79814,Climate Change,29,51,57
USA,1885,October,Oregon,18,28799,Lightning,40,18,60
Brazil,1885,July,Amazonas,11,5222,Deforestation,32,42,16
Brazil,1885,May,Mato Grosso,123,10367,Lightning,31,90,45
Greece,1885,May,Athens,149,3696,Unknown,39,72,11
Greece,1885,July,Crete,237,26834,Unknown,36,38,9
Australia,1885,May,New South Wales,240,72374,Lightning,20,56,27
Australia,1885,June,Victoria,447,75803,Deforestation,20,37,54
Portugal,1885,October,Lisbon,281,1705,Unknown,44,79,63
Portugal,1885,October,Porto,354,14018,Human,17,35,41
Italy,1885,September,Sicily,40,9211,Lightning,34,79,5
Italy,1885,October,Sardinia,122,84571,Deforestation,16,83,9
Russia,1885,June,Siberia,439,88336,Unknown,19,74,27
Russia,1885,October,Far East,328,92022,Unknown,47,24,13
Canada,1885,May,British Columbia,94,78577,Climate Change,25,81,4
Canada,1885,May,Alberta,394,59483,Lightning,19,27,11
France,1885,August,Corsica,390,5387,Lightning,34,69,64
France,1885,September,Provence,333,19316,Human,25,19,25
China,1885,October,Yunnan,423,93889,Human,19,66,61
China,1885,August,Sichuan,438,67544,Deforestation,23,38,36
India,1885,May,Madhya Pradesh,300,36259,Unknown,43,76,12
India,1885,May,Assam,233,30623,Deforestation,35,41,6
Turkey,1886,July,Mugla,383,177,Lightning,18,93,43
Turkey,1886,May,Antalya,406,43403,Deforestation,47,27,64
Turkey,1886,May,Izmir,157,67828,Human,16,82,54
Spain,1886,July,Catalonia,43,67606,Deforestation,21,55,43
Spain,1886,August,Andalusia,19,71424,Human,44,31,37
USA,1886,September,California,42,97820,Human,41,59,34
USA,1886,October,Texas,200,19129,Lightning,24,9,39
USA,1886,September,Oregon,163,29586,Unknown,38,56,57
Brazil,1886,September,Amazonas,140,64872,Climate Change,18,80,46
Brazil,1886,June,Mato Grosso,415,16578,Deforestation,40,47,28
Greece,1886,September,Athens,152,77934,Lightning,20,76,24
Greece,1886,June,Crete,306,90574,Unknown,40,17,63
Australia,1886,June,New South Wales,477,15428,Unknown,26,72,6
Australia,1886,September,Victoria,332,226,Lightning,42,35,10
Portugal,1886,October,Lisbon,55,44427,Human,36,15,24
Portugal,1886,May,Porto,306,22216,Climate Change,40,40,55
Italy,1886,May,Sicily,5,53273,Deforestation,29,25,48
Italy,1886,May,Sardinia,313,97516,Lightning,40,45,36
Russia,1886,August,Siberia,29,73609,Lightning,21,86,35
Russia,1886,July,Far East,21,6883,Deforestation,38,29,53
Canada,1886,October,British Columbia,348,46340,Human,43,67,23
Canada,1886,June,Alberta,160,16341,Climate Change,21,85,50
France,1886,August,Corsica,122,25017,Unknown,21,5,14
France,1886,October,Provence,219,2582,Deforestation,33,66,33
China,1886,October,Yunnan,289,28052,Climate Change,43,34,17
China,1886,July,Sichuan,22,33636,Deforestation,16,42,52
India,1886,August,Madhya Pradesh,389,52587,Climate Change,17,36,11
India,1886,June,Assam,471,75729,Lightning,47,91,56
Turkey,1887,August,Mugla,292,85482,Climate Change,22,69,58
Turkey,1887,July,Antalya,476,30778,Deforestation,22,58,68
Turkey,1887,July,Izmir,101,85695,Lightning,49,92,33
