Country,Year,Month,Region,Fires_Count,Burned_Area_Km,Cause,Temperature_C,Humidity_Percent,Wind_Speed_kmh,Period,Latitude,Longitude
Turkey,1881,August,Mugla,353,769.2,Lightning,33,0.91,25,"[1881, 1891)",37.2154,28.3634
Turkey,1881,July,Antalya,154,649.2,Lightning,38,0.34,39,"[1881, 1891)",36.8969,30.7133
Turkey,1881,June,Izmir,196,832.04,Unknown,36,0.93,50,"[1881, 1891)",38.4237,27.1428
Spain,1881,July,Catalonia,63,845.78,Lightning,42,0.64,16,"[1881, 1891)",41.5912,1.5209
Spain,1881,October,Andalusia,450,847.54,Deforestation,17,0.55,8,"[1881, 1891)",37.5443,4.7278
USA,1881,September,California,333,801.38,Lightning,18,0.93,61,"[1881, 1891)",36.7783,-118.755997
USA,1881,October,Texas,246,431.01,Human,40,0.57,3,"[1881, 1891)",31.9686,-98.5456116
USA,1881,August,Oregon,96,235.83,Unknown,22,0.51,36,"[1881, 1891)",43.8041,-120.737257
Brazil,1881,October,Amazonas,85,921.67,Lightning,18,0.06,7,"[1881, 1891)",-3.0967614,-65.8561
Brazil,1881,October,Mato Grosso,110,530.95,Climate Change,32,0.94,45,"[1881, 1891)",-12.2115009,-55.5716547
Greece,1881,June,Athens,206,921.93,Unknown,28,0.52,16,"[1881, 1891)",37.9755648,23.7348324
Greece,1881,October,Crete,219,914.87,Human,35,0.84,54,"[1881, 1891)",35.3084952,24.4633423
Australia,1881,June,New South Wales,221,868.79,Unknown,43,0.19,46,"[1881, 1891)",-31.8759835,147.2869493
Australia,1881,May,Victoria,349,408.74,Human,38,0.05,9,"[1881, 1891)",-36.5986096,144.6780052
Portugal,1881,July,Lisbon,85,332.59,Deforestation,49,0.37,6,"[1881, 1891)",38.7077507,-9.1365919
Portugal,1881,June,Porto,235,646.05,Human,42,0.11,13,"[1881, 1891)",41.1502195,-8.6103497
Italy,1881,June,Sicily,37,892.35,Climate Change,49,0.48,36,"[1881, 1891)",37.587794,14.155048
Italy,1881,May,Sardinia,231,82.1,Deforestation,15,0.09,15,"[1881, 1891)",40.0912813,9.0305773
Russia,1881,July,Siberia,397,3.06,Lightning,27,0.55,64,"[1881, 1891)",61.0137,99.1967
Russia,1881,May,Far East,56,543.68,Unknown,44,0.27,16,"[1881, 1891)",63.3109,135
Canada,1881,July,British Columbia,33,339.27,Climate Change,46,0.75,60,"[1881, 1891)",55.001251,-125.002441
Canada,1881,July,Alberta,90,223.99,Lightning,20,0.32,29,"[1881, 1891)",55.001251,-115.002136
France,1881,August,Corsica,48,260.39,Deforestation,42,0.93,63,"[1881, 1891)",42.188098,9.0683139
France,1881,May,Provence,389,669.42,Human,27,0.07,28,"[1881, 1891)",44.0145,6.2116
China,1881,May,Yunnan,322,38.48,Human,38,0.83,60,"[1881, 1891)",25.0453,102.7097
