Country,Year,Month,Region,Fires_Count,Burned_Area_Km,Cause,Temperature_C,Humidity_Percent,Wind_Speed_kmh,Period,Latitude,Longitude,Fires_Count_transform,Burned_Area_Km_transform,Temperature_C_transform,Wind_Speed_kmh_transform,Humidity_Percent_transform
Turkey,1881,August,Mugla,353.0,769.2,Lightning,33.0,0.91,25.0,"[1881, 1891)",37.2154,28.3634,5.869296913133774,6.646650221380809,3.5263605246161616,3.258096538021482,0.6471032420585385
Turkey,1881,July,Antalya,154.0,649.2,Lightning,38.0,0.34,39.0,"[1881, 1891)",36.8969,30.7133,5.043425116919247,6.477280007869805,3.6635616461296463,3.688879454113936,0.29266961396282
Turkey,1881,June,Izmir,196.0,832.04,Unknown,36.0,0.93,50.0,"[1881, 1891)",38.4237,27.1428,5.2832037287379885,6.72508166022164,3.610917912644224,3.9318256327243257,0.6575200029167942
Spain,1881,July,Catalonia,63.0,845.78,Lightning,42.0,0.64,16.0,"[1881, 1891)",41.5912,1.5209,4.1588830833596715,6.741440920653971,3.7612001156935624,2.833213344056216,0.494696241836107
Spain,1881,October,Andalusia,450.0,847.54,Deforestation,17.0,0.55,8.0,"[1881, 1891)",37.5443,4.7278,6.111467339502679,6.743517225578453,2.8903717578961645,2.1972245773362196,0.4382549309311553
USA,1881,September,California,333.0,801.38,Lightning,18.0,0.93,61.0,"[1881, 1891)",36.7783,-118.755997,5.811140992976701,6.68758231111276,2.9444389791664403,4.127134385045092,0.6575200029167942
USA,1881,October,Texas,246.0,431.01,Human,40.0,0.57,3.0,"[1881, 1891)",31.9686,-98.5456116,5.5093883366279774,6.068448736124344,3.713572066704308,1.3862943611198906,0.4510756193602167
USA,1881,August,Oregon,96.0,235.83,Unknown,22.0,0.51,36.0,"[1881, 1891)",43.8041,-120.737257,4.574710978503383,5.467342584174642,3.1354942159291497,3.610917912644224,0.412109650826833
Brazil,1881,October,Amazonas,85.0,921.67,Lightning,18.0,0.06,7.0,"[1881, 1891)",-3.0967614,-65.8561,4.454347296253507,6.827271640779688,2.9444389791664403,2.0794415416798357,0.0582689081239757
Brazil,1881,October,Mato Grosso,110.0,530.95,Climate Change,32.0,0.94,45.0,"[1881, 1891)",-12.2115009,-55.5716547,4.709530201312334,6.276549499962375,3.49650756146648,3.828641396489095,0.6626879730752367
Greece,1881,June,Athens,206.0,921.93,Unknown,28.0,0.52,16.0,"[1881, 1891)",37.9755648,23.7348324,5.332718793265369,6.827553391973575,3.367295829986474,2.833213344056216,0.418710334858185
Greece,1881,October,Crete,219.0,914.87,Human,35.0,0.84,54.0,"[1881, 1891)",35.3084952,24.4633423,5.393627546352362,6.819874433204956,3.58351893845611,4.007333185232471,0.6097655716208943
Australia,1881,June,New South Wales,221.0,868.79,Unknown,43.0,0.19,46.0,"[1881, 1891)",-31.8759835,147.2869493,5.402677381872279,6.76825180320161,3.784189633918261,3.8501476017100584,0.173953307123438
